type_ID,type_name,description,category
1,Combat Boots,Praesent id massa id nisl venenatis lacinia.,Protection
2,Combat Knife,Quisque ut erat. Curabitur gravida nisi at nibh.,Protection
3,Sniper Rifle,Aenean lectus.,Measurement
4,Drone Controller,Donec quis orci eget orci vehicula condimentum.,Optics
5,Infrared Scope,Suspendisse potenti.,Communication
6,Camouflage Netting,Ut tellus.,Navigation
7,Riot Gear,Nulla justo.,Communication
8,Ballistic Helmet,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Electronics
9,Thermal Camera,Vivamus tortor. Duis mattis egestas metus.,Electronics
10,Water Purifier,Mauris ullamcorper purus sit amet nulla.,Navigation
11,Infrared Scope,Praesent id massa id nisl venenatis lacinia.,Communication
12,Cyber Defense Tablet,Mauris lacinia sapien quis libero.,Communication
13,Laser Rangefinder,Maecenas ut massa quis augue luctus tincidunt.,Camouflage
14,Riot Gear,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Surveillance
15,Armored Backpack,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Detection
16,Cyber Defense Tablet,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Protection
17,Laser Rangefinder,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Protection
18,Infrared Scope,Etiam justo. Etiam pretium iaculis justo.,Electronics
19,Drone Controller,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Optics
20,Laser Rangefinder,Cras non velit nec nisi vulputate nonummy.,Electronics
21,Surveillance Drone,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Communication
22,GPS Unit,Quisque ut erat. Curabitur gravida nisi at nibh.,Electronics
23,Ammunition Crate,Maecenas tincidunt lacus at velit.,Optics
24,GPS Unit,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Electronics
25,Thermal Camera,Morbi non quam nec dui luctus rutrum.,Communication
26,Bulletproof Shield,Fusce consequat. Nulla nisl.,Weapon
27,Satellite Phone,In sagittis dui vel nisl.,Weapon
28,Night Vision Goggles,Quisque id justo sit amet sapien dignissim vestibulum.,Navigation
29,Bulletproof Shield,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Detection
30,Mine Detector,Proin interdum mauris non ligula pellentesque ultrices.,Electronics
31,Sniper Rifle,Aliquam non mauris. Morbi non lectus.,Navigation
32,Ammunition Crate,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Utility
33,Mobile Jammer,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Medical
34,Mobile Jammer,Nulla tellus.,Communication
35,Bulletproof Shield,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Camouflage
36,Sniper Rifle,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,Surveillance
37,Cyber Defense Tablet,Donec ut mauris eget massa tempor convallis.,Detection
38,Bulletproof Shield,Morbi ut odio.,Optics
39,Emergency Beacon,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Weapon
40,Explosive Detector,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Electronics
41,Laser Rangefinder,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Medical
42,Emergency Beacon,Aenean auctor gravida sem.,Weapon
43,Emergency Beacon,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Weapon
44,Surveillance Drone,Donec ut dolor.,Detection
45,Ammunition Crate,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Clothing
46,Field Laptop,Morbi quis tortor id nulla ultrices aliquet.,Medical
47,Explosive Detector,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,Optics
48,Medical Backpack,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Communication
49,Portable Radar,Aenean auctor gravida sem.,Ammunition
50,Water Purifier,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Communication
51,Emergency Beacon,Donec dapibus. Duis at velit eu est congue elementum.,Protection
52,Bulletproof Shield,Pellentesque viverra pede ac diam.,Optics
53,Anti-Drone Gun,Nullam molestie nibh in lectus.,Ammunition
54,Tactical Radio,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Clothing
55,Sniper Rifle,Phasellus in felis. Donec semper sapien a libero.,Camouflage
56,Mobile Jammer,Phasellus in felis.,Electronics
57,Mine Detector,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Surveillance
58,Camouflage Netting,In blandit ultrices enim.,Communication
59,Anti-Drone Gun,Maecenas tincidunt lacus at velit.,Electronics
60,Satellite Phone,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,Measurement
61,Medical Backpack,Aliquam non mauris. Morbi non lectus.,Clothing
62,Sniper Rifle,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,Weapon
63,GPS Unit,Quisque ut erat.,Protection
64,Cyber Defense Tablet,Nunc nisl.,Medical
65,Riot Gear,Praesent id massa id nisl venenatis lacinia.,Electronics
66,Grenade Launcher,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Medical
67,Surveillance Drone,In quis justo. Maecenas rhoncus aliquam lacus.,Weapon
68,Kevlar Vest,Aliquam non mauris. Morbi non lectus.,Communication
69,Infrared Scope,Etiam vel augue. Vestibulum rutrum rutrum neque.,Weapon
70,Ballistic Helmet,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,Weapon
71,Riot Gear,Proin at turpis a pede posuere nonummy.,Communication
72,Grenade Launcher,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Communication
73,Riot Gear,Morbi a ipsum. Integer a nibh.,Medical
74,Armored Backpack,In hac habitasse platea dictumst.,Surveillance
75,Sniper Rifle,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Navigation
76,Ammunition Crate,Nulla nisl. Nunc nisl.,Optics
77,Kevlar Vest,Integer a nibh.,Communication
78,Sniper Rifle,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Medical
79,Combat Boots,Etiam pretium iaculis justo.,Optics
80,Night Vision Goggles,Duis mattis egestas metus.,Ammunition
